id,nom,chemin,type,niveau,theme,notion,sequence_possible,statut,qualite,reutilisable,a_refondre,commentaire,source,audience,publishable,copie_dans_banques,evidence_category,hash,symlink
I01-README,README.md,00_programmes_officiels/README.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,b1b844c4ef9b772e5e7293758752df6e50a4e64e3334ede1c1a435050779037e,non
I01-programme-nsi-2019,programme_nsi_2019.yaml,00_programmes_officiels/programme_nsi_2019.yaml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,a53886bd51fb3ed2db89d02b6448b9711d9eff5d61c9e54c45b8f508fd43463a,non
I01-programme-nsi-premiere,programme_nsi_premiere.txt,00_programmes_officiels/programme_nsi_premiere.txt,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,5d36da306247277f7929c57f2f6a120da092a943dce14a822401e5d35e1e50b9,non
I01-programme-nsi-terminale,programme_nsi_terminale.txt,00_programmes_officiels/programme_nsi_terminale.txt,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,3cfce30c85fdc7ab78eb9acb39e43bcb33d6205e0c4205d4cb499f80c097f15b,non
I01-modele-aides,modele_aides.tex,02_modeles_documents/modele_aides.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3620d709b5a4998eef931f879da6e9a1668a56877bc2df9a5f0458792c3a711c,non
I01-modele-corrige,modele_corrige.tex,02_modeles_documents/modele_corrige.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,corrige,non,non,corrige,d4a2756ecd8c06cdbd42d70d1c625fedf9f642c82c306504b43ca51b163cf128,non
I01-modele-cours,modele_cours.tex,02_modeles_documents/modele_cours.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,096b562627783769c80e133186440949debe04940de11ba8d11b0ba47ca8bc3f,non
I01-modele-evaluation,modele_evaluation.tex,02_modeles_documents/modele_evaluation.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0c5c174fe22ea5e9dcb420f89e5bef87a6bc7888d205f5e4fecd0d33a20c8605,non
I01-modele-fiche-methode,modele_fiche_methode.tex,02_modeles_documents/modele_fiche_methode.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,9ade986236db8355cd4857bfa291428ae7185de29fe8edda01022b07a126640c,non
I01-modele-guide-prof,modele_guide_prof.md,02_modeles_documents/modele_guide_prof.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,professeur,non,non,autre,c8fd45f7658cd9268337886b19129b49aded73a393a36c50cf0129e607da78bf,non
I01-modele-qcm,modele_qcm.json,02_modeles_documents/modele_qcm.json,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,6ba9b1abcfc26f705bf90ab039d8b98b776e7edbaf49b94635192342bf22327c,non
I01-modele-sequence,modele_sequence.yaml,02_modeles_documents/modele_sequence.yaml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,98d8bac8a9fb0260db89e487eb2985c40d4ca5b7b4c7b865bced04be588130b0,non
I01-modele-td,modele_td.tex,02_modeles_documents/modele_td.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,td,c2df44aab8d9492e3e1523043a0f59b7ad7e2c0dfd783ea3cd632bddd1b29f2e,non
I01-modele-tp,modele_tp.tex,02_modeles_documents/modele_tp.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,56a3b3ef8e4262d5cd2d1166bc8e8796c5471331fcbc56955e9b673a54e95256,non
I01-modele-trace,modele_trace.tex,02_modeles_documents/modele_trace.tex,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,1f7a3deee4150733752408d812b1fce01188f28d613f0d2d8b2536c0269b1d32,non
I01-nsi-preamble,nsi-preamble.sty,02_modeles_documents/nsi-preamble.sty,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,9360a17474193420c6533a267420a536cabcbce24faade497b3b44bb304c6aef,non
I01-monthly-load-premiere,monthly_load_premiere.md,03_progressions/monthly_load_premiere.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,6fd2a06b19e3c44ddfb06e62f7f5016ed2f9f9e52b8ee5aafb18b696963c73dc,non
I01-monthly-load-terminale,monthly_load_terminale.md,03_progressions/monthly_load_terminale.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,8b6d7a8796e259c98e6852423a50a4d5c598a923765ce5b2c0797e60852cdb4d,non
I01-progression-premiere,progression_premiere.md,03_progressions/progression_premiere.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,2e67b59d022b0ee40e15be96228e625089f66b65c4eb720563d61b251822ea49,non
I01-progression-terminale,progression_terminale.md,03_progressions/progression_terminale.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,a1d62bb0835e691c3216aba28515f845f50c78dc574e76a5923496b447fdef1f,non
I01-seances-premiere,seances_premiere.md,03_progressions/seances_premiere.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,882e05b14810d2a8cf03f563d84eccbb0cb85f63277d5a6ad95b81b882133d65,non
I01-seances-terminale,seances_terminale.md,03_progressions/seances_terminale.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,18c289e1aaf41a673c4f7868f00887fed02d80292f4689d7173a9624561fda69,non
I01-P00-contract,P00_contract.yml,03_progressions/supports/contracts/P00_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,af2b71d22f3809f46f9f245552edec3428543d5a7f28be8803ef9caa20856109,non
I01-P01-contract,P01_contract.yml,03_progressions/supports/contracts/P01_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,01c6f7c82e04215da65a53892b0723f0f5dd20af12c9c43cdf66c3af3dcfcc30,non
I01-P02-contract,P02_contract.yml,03_progressions/supports/contracts/P02_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,b6cdd17bd62a279ceaf77afaa5065c74223d25ea7bc892ceb443ef8b149f5dbc,non
I01-P03-contract,P03_contract.yml,03_progressions/supports/contracts/P03_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,e00aee55ece63d07e10efa61cdd0d6c8170b9ce739360d601a4a160f334a6b6b,non
I01-P04-contract,P04_contract.yml,03_progressions/supports/contracts/P04_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,09f02342ebbc795cacdd4e955e4175548dcb6a0211c90a7bdec06129fbd853fd,non
I01-P05-contract,P05_contract.yml,03_progressions/supports/contracts/P05_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,b0f3051fde77ee74ae967f921a66867ed7b46b210a38b45b9dd5ae2cfd631180,non
I01-P06-contract,P06_contract.yml,03_progressions/supports/contracts/P06_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,9782042d3345c9ff2d7afea0c1c03d25476158098224f35d2e5c9a0bf7255bf8,non
I01-P07-contract,P07_contract.yml,03_progressions/supports/contracts/P07_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,48895807d3693519017dcb84c249d247466be8e7cff34d11ae0ad498da8af9d8,non
I01-P08-contract,P08_contract.yml,03_progressions/supports/contracts/P08_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,0096b0ac99d8aaf43636acad9c57a4c8d0233b82018f03c0279c7cc0256ac293,non
I01-P09-contract,P09_contract.yml,03_progressions/supports/contracts/P09_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,0ff029d9ccf4ac8dfe015ddb2d6cb18369401bd24822633e2308d45d28bc0b89,non
I01-P10-contract,P10_contract.yml,03_progressions/supports/contracts/P10_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,1866e9f805ec37288ad815a2d6a5cc359e5f5999006848f0673ed36acf0561c7,non
I01-P11-contract,P11_contract.yml,03_progressions/supports/contracts/P11_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,2416164ce8b16b928828b971b301798a614a1e2fb5e91b2353baa6dc67b939e6,non
I01-P12-contract,P12_contract.yml,03_progressions/supports/contracts/P12_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,97693c36e16420d0fa93d552fc660875b36656da58a60ca867d99f36c2018031,non
I01-P13-contract,P13_contract.yml,03_progressions/supports/contracts/P13_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,ae40559a324979a0df9d02f813519ff68935fb8d9a1f579811abdbe63a639502,non
I01-P14-contract,P14_contract.yml,03_progressions/supports/contracts/P14_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,b9bc3409401d42e02d866445bffa84a9e7f6793b5a3ee105977e49c4b70ca92d,non
I01-T00-contract,T00_contract.yml,03_progressions/supports/contracts/T00_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,29508a97e5d946fbc791534a472e043b1cfa82c3701bb4a61f041e5f74ba274c,non
I01-T01-contract,T01_contract.yml,03_progressions/supports/contracts/T01_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,32d10a5a05bc8c778edd75645581e0f98a7003e0d45301e7a49dcb438ffc8f18,non
I01-T02-contract,T02_contract.yml,03_progressions/supports/contracts/T02_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,2fba40f6aa683d7fa22a1b4893cbf911642cb81f7ef89475ba577419d5db668e,non
I01-T03-contract,T03_contract.yml,03_progressions/supports/contracts/T03_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,50fbe49ba6bc4a6cea2bb48b800cbe37c7e5a99f043c91a85349de32173a7ffa,non
I01-T04-contract,T04_contract.yml,03_progressions/supports/contracts/T04_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,e5e618657f00d426dec7e2a3d61dbcb66faee6ef843e10013880081a0a1e53f5,non
I01-T05-contract,T05_contract.yml,03_progressions/supports/contracts/T05_contract.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,5c220749123fa1b15d9afd6ef3cf94a1d307b63cbaf892d65942e7476f5f8da1,non
