id,nom,chemin,type,niveau,theme,notion,sequence_possible,statut,qualite,reutilisable,a_refondre,commentaire,source,audience,publishable,copie_dans_banques,evidence_category,hash,symlink
I01-.env.rag,.env.rag.example,.env.rag.example,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,26375ab214889368d124297d7e504bfeaab586f4deb8546d1374a8663a036a95,non
I01-ci,ci.yml,.github/workflows/ci.yml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,89440cd579029a2946cb5d2a6673921c484b55dd291b885a155bd811d86fa93b,non
I01-.pre-commit-config,.pre-commit-config.yaml,.pre-commit-config.yaml,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,ef8f18f375576eae099de14e6ee16f5f23c558f5efdb0f4bab635f266ef96b97,non
I01-charte-documentaire-sequences,charte_documentaire_sequences.md,01_charte_graphique_et_pedagogique/charte_documentaire_sequences.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,2306decfb459ff54ffb46381c22f75acd186f70459cd154362c9c8a765c113ac,non
I01-charte-graphique,charte_graphique.md,01_charte_graphique_et_pedagogique/charte_graphique.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,33bb927322fcbbb26e16f04544da3bdda1da27ec11d91975b7b7e74df140a2db,non
I01-metadata-schema,metadata_schema.md,01_charte_graphique_et_pedagogique/metadata_schema.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,f2fc964a8dacac3e4e1c18bb15617803035db42d7bfabdcd9ea0f731fae87ca1,non
I01-INDEX,INDEX.md,INDEX.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3f8f4316e542a6109c9c11b82d24b5bf7c246ed04fa6599c47a0c79de1a4d926,non
I01-INDEX-BY-AUDIENCE,INDEX_BY_AUDIENCE.md,INDEX_BY_AUDIENCE.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0e10d7af3de5e119dcad774e8d713f567f86e02d9667851041dcc899ae62d0cf,non
I01-INDEX-BY-CAPACITY,INDEX_BY_CAPACITY.md,INDEX_BY_CAPACITY.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,0eff2948dc7064639b96176fa9a8989ec7a0659544533bff771b866c690080a2,non
I01-INDEX-BY-CHAPTER,INDEX_BY_CHAPTER.md,INDEX_BY_CHAPTER.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,1b63e98dd45a6e64de76ad0958b7e77f2e54148992f7cd74840b4b6e90c80a75,non
I01-INDEX-BY-DOCUMENT-TYPE,INDEX_BY_DOCUMENT_TYPE.md,INDEX_BY_DOCUMENT_TYPE.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,317a7284337b1dd74e38bd07c086a201ad13e0badca9dc700803ed762a3ca65a,non
I01-INDEX-BY-DOMAIN,INDEX_BY_DOMAIN.md,INDEX_BY_DOMAIN.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,683ec0c2d9a5a850229498e4f82d9dc98323dfa20e60d1e8ecd146e137333321,non
I01-INDEX-BY-LEVEL,INDEX_BY_LEVEL.md,INDEX_BY_LEVEL.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,a2a3d41a2bb0c214e5bb65f044acf43a29e66eb8314db7f88967481abcd82c68,non
I01-INDEX-BY-RAG-COLLECTION,INDEX_BY_RAG_COLLECTION.md,INDEX_BY_RAG_COLLECTION.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,19e84160f505dc50387672e3686c5b209b5bb103f957b2cccc1205a20450dfbb,non
I01-INDEX-BY-SEQUENCE,INDEX_BY_SEQUENCE.md,INDEX_BY_SEQUENCE.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,7e1e6c378795de0c5ac8081a29a50deb249905066b3bba6f05d1c565ee2ecb89,non
